"rowid","votereg","inputregstate","region","division","CONSENT","TAX_rate","STATE_DC","STATE_PR","SEXWORK","LOCALNEWS","REDFLAG","STUDEBT","GND","BDS","PRISVOTE","PROSPAY","FEES","SSCAP","OVERTIME","FOURDAY","TELMED","MINWAGE","WEALTAX","NAMEANYDEM","NAMEANYREP","employ","job","work_employees","work_comp","pp_daily_intuse_work","work_customers","work_benefits","work_pay","jobsec","side_job_US_1","side_job_US_2","side_job_US_3","side_job_US_4","side_job_US_5","side_job_US_6","side_job_US_7","side_job_US_8","employ_worktype","employ_worktype_other","NRSCLASS","DOWORK","WORKDIVERSE","WORKSAFE","class_neighbor","parents_ed","PAID","class_open","KARNOSKI","REGENTS","PICS","SHELBY","BURWELL","REDISTRICTING","SCOTUSQ1","SCOTUSQ2","SCOTUSGRID_split","roberts1","thomas1","sotomayor1","ginsberg1","kavanaugh1","kagan1","alito1","breyer1","gorsuch1","roberts2","thomas2","sotomayor2","ginsberg2","kavanaugh2","kagan2","alito2","breyer2","gorsuch2","COURTVIEW","COURTAPPROVE","PRES_APP","pid3","pid3_t","pid7","dtrpsupp","ideo5","turnout16","presvote16post","presvote16post_t","djtrelct","turnout18post","housevote18post","housevote18post_t","fin_emerg","fin_checking","fin_savings","fin_cashing","fin_cc","fin_loan","fin_car","fin_sticks","HOME_OWN","OPIOID","union_combined_1","union_combined_5","union_combined_2","union_combined_6","union_combined_3","union_combined_4","birthyr","age5","educ","educ4","educ2","race","race_t","race4","race2","hispanic","faminc_new","urban","GENDER_4","GENDER4_open","weight"
508,1,13,3,5,1,5,5,2,2,5,5,5,5,1,5,5,3,4,2,3,5,5,5,"Pelosia","Chaney",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,"Have a job that allows you to live somewhat comfortably.",2,2,2,1,2,2,9,"Roberts",2,2,1,5,5,1,5,1,4,1,4,4,2,1,5,2,5,2,5,2,2,1,2,NA,7,1,5,1,2,NA,1,1,2,NA,1,1,1,1,1,2,1,1,1,2,2,2,2,2,1,2,1943,5,3,2,1,1,NA,1,1,2,97,3,2,NA,0.8464
509,1,53,4,9,1,3,5,5,3,5,5,5,5,4,5,4,5,2,2,4,5,5,5,"Patty Muray","Jeanne Herra Butler",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,"a person who works at a gainful employment",2,2,2,1,2,2,9,"Roberts",1,2,3,4,5,3,4,3,2,2,3,4,2,1,3,2,3,3,4,2,2,2,4,"moderate conservative",5,2,4,1,2,NA,1,1,2,NA,1,1,1,2,1,2,1,2,1,2,2,2,2,2,1,2,1947,5,3,2,1,1,NA,1,1,2,16,3,1,NA,0.5339
510,1,23,1,1,1,1,1,1,2,4,1,1,1,5,3,2,4,1,3,3,1,3,1,"Nancy Pelosi","Who cares",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,4,"",1,1,2,2,1,2,9,"Roberts",1,4,5,1,1,5,1,2,4,5,4,5,1,1,5,1,2,4,5,2,5,5,1,NA,1,NA,2,1,1,NA,2,1,1,NA,1,1,1,2,1,1,1,1,1,2,2,1,2,2,2,2,1949,5,3,2,1,1,NA,1,1,2,97,3,1,NA,0.6833
511,1,34,1,2,1,2,6,6,5,6,1,5,6,6,4,3,5,6,2,3,3,3,1,"pelosi","",1,NA,2,1,4,3,1,1,4,2,2,2,2,2,2,1,2,24,"records",NA,"filing",1,1,2,3,4,"Able to pay your bills on your salary",1,1,1,2,1,3,9,"roberts",2,6,1,6,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,1,2,1,2,NA,6,1,5,2,7,NA,1,1,2,NA,1,1,2,2,1,2,1,1,1,2,2,2,1,2,2,2,1963,4,3,2,1,1,NA,1,1,2,8,1,2,NA,0.4947
512,1,18,2,3,1,4,6,1,3,5,2,6,3,6,1,3,2,2,1,1,3,5,1,"nancy pelosi","",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,3,"manual-labor occupations, construction workers, industrial workers, etc",2,2,1,1,3,1,9,"roberts",2,2,5,6,3,3,5,6,6,6,6,6,2,3,NA,2,4,6,6,2,4,1,2,NA,6,1,4,1,2,NA,1,1,2,NA,2,1,2,2,2,1,1,2,1,1,2,2,2,1,2,2,1968,4,3,2,1,1,NA,1,1,2,4,3,2,NA,0.8469
513,1,4,4,8,1,2,4,3,5,4,5,2,4,3,2,5,4,1,1,1,5,5,4,"Kirsten Sinema","Martha McSally",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,"Just getting by",1,2,1,1,1,2,9,"Roberts",2,1,1,5,5,1,5,1,5,1,2,2,5,5,1,5,2,5,1,1,3,1,2,NA,7,4,2,1,2,NA,1,1,2,NA,2,1,2,1,1,2,2,2,1,2,2,2,2,2,1,2,1950,5,2,1,1,1,NA,1,1,2,6,1,2,NA,1.0442
514,1,20,2,4,1,3,5,3,5,5,5,5,5,1,5,4,4,2,4,4,5,5,5,"Sharice Davids","Joni Ernst",1,NA,2,1,2,1,1,3,4,2,1,2,1,2,2,2,2,18,NA,4,"Deputy Sheriff",2,2,2,2,3,"Being able to meet your bills.",2,2,1,1,2,1,9,"Roberts",2,4,1,5,5,1,5,1,4,1,3,5,1,1,4,1,4,2,4,2,2,1,2,NA,7,4,5,1,2,NA,1,1,2,NA,1,1,1,2,1,1,1,2,1,2,2,2,2,2,1,2,1959,4,6,4,2,1,NA,1,1,2,9,2,1,NA,1.2506
515,1,4,4,8,1,2,3,1,2,6,1,1,1,3,5,1,6,2,2,3,1,3,1,"Sinema","McSalley",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,"????????????",1,1,1,3,1,2,9,"Roberts",2,3,5,1,1,4,1,5,2,5,3,5,2,1,5,2,4,2,5,2,3,5,3,NA,3,NA,3,1,1,NA,2,1,1,NA,1,1,1,2,1,2,1,1,1,2,2,2,2,2,1,2,1939,5,6,4,2,1,NA,1,1,2,12,2,1,NA,0.6473
516,1,36,1,2,1,2,6,NA,6,6,2,3,NA,3,2,3,2,2,1,2,3,1,1,"nancy pelosi","Mikie Sherill",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,"working to survive and be responsible for themselves and their family.",1,3,1,3,NA,3,9,"kavenaugh",1,6,3,6,1,4,6,3,NA,3,6,3,6,3,4,6,6,6,6,2,3,5,1,NA,2,NA,3,1,1,NA,2,1,1,NA,1,1,2,1,1,2,1,2,1,1,2,2,2,2,1,2,1960,4,4,2,1,1,NA,1,1,2,4,1,2,NA,0.4947
517,1,29,2,4,1,2,6,2,2,3,1,3,4,6,3,2,4,5,2,4,4,3,3,"not right now...","???",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,3,"No higher education",3,3,3,3,3,3,12,"Robert",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,6,5,1,NA,2,NA,2,1,1,NA,2,1,1,NA,1,1,2,3,1,2,2,1,1,2,2,2,2,2,1,2,1937,5,6,4,2,1,NA,1,1,2,2,1,2,NA,1.0387
518,1,51,3,5,1,4,1,1,2,3,2,2,2,5,1,4,1,5,1,1,2,4,3,"","",1,NA,2,1,3,3,1,3,3,2,2,2,2,2,2,1,2,7,NA,1,"Project manager",3,1,2,4,5,"Work eat sleep repeat",1,1,2,2,1,2,9,"",1,4,4,2,2,5,2,3,3,5,4,4,2,2,5,2,4,4,5,2,4,5,3,NA,4,NA,3,1,1,NA,2,1,1,NA,1,1,1,2,1,1,1,1,1,2,2,2,2,2,1,2,1968,4,6,4,2,2,NA,2,2,2,12,2,1,NA,1.7818
519,1,55,2,3,1,2,2,4,5,5,1,5,5,5,2,5,5,1,2,2,5,6,2,"Tammy Baldwin","Tammy Baldwin",1,NA,2,1,4,1,1,1,3,2,2,2,2,2,2,1,2,10,NA,3,"Issued driver's license, state ID cards, vehicle titles and license plates",1,3,1,2,4,"Full time worker making at least minimum wage.",2,2,1,3,2,2,9,"Don't know",2,6,6,4,6,2,6,6,6,6,4,4,2,2,4,2,4,2,4,1,3,2,2,NA,6,3,4,1,2,NA,1,1,2,NA,1,1,1,2,1,2,1,2,1,2,2,2,2,2,1,2,1964,4,4,2,1,1,NA,1,1,2,3,2,2,NA,0.8469
520,1,12,3,5,1,2,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,4,1,"Elizabeth Warren","",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,"Blue collar workers",1,1,1,1,1,1,9,"Kennedy",2,2,4,1,1,5,6,6,6,4,4,3,3,3,5,3,6,2,5,1,4,5,1,NA,1,NA,2,1,1,NA,2,1,1,NA,2,2,2,1,1,2,2,2,2,1,2,2,2,2,1,2,1954,5,3,2,1,1,NA,1,1,2,4,2,2,NA,0.5429
521,1,37,3,5,1,1,6,1,2,5,1,2,2,5,1,6,1,3,6,1,6,1,1,"kamala harris","virginia wolf",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,6,"working class is poor",1,2,1,1,1,3,15,"kavanaugh",2,3,3,1,1,5,1,3,1,5,6,6,6,6,6,6,6,6,6,1,2,5,1,NA,1,NA,3,2,7,NA,2,NA,NA,NA,2,1,1,1,1,2,1,2,3,2,1,2,2,2,2,2,1962,4,2,1,1,2,NA,2,2,2,2,2,2,NA,2.658
522,1,35,4,8,1,1,2,2,4,1,1,1,1,3,2,2,2,1,1,1,1,2,1,"Harris","Murkowski",1,NA,2,1,1,3,1,3,4,2,2,2,2,2,2,1,2,16,NA,3,"Teach history to high school students.",1,3,2,3,5,"Earn enough to live modestly.",1,1,3,3,1,2,9,"Roberts",2,5,4,1,1,5,1,4,1,5,5,4,2,1,5,2,4,3,5,2,4,5,1,NA,1,NA,1,1,1,NA,2,1,1,NA,1,1,1,2,2,1,1,2,1,2,1,2,2,2,2,2,1986,2,6,4,2,3,NA,3,2,1,9,1,2,NA,0.497
523,1,4,4,8,1,3,5,3,2,5,5,5,5,1,5,5,1,2,5,5,4,5,5,"palosi","mcsally",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,"living paycheck to paycheck",2,2,1,2,2,3,6,"kavanau",2,2,2,5,5,2,5,2,4,1,3,4,1,1,4,1,3,2,5,2,2,1,3,NA,5,1,5,1,2,NA,1,1,2,NA,1,1,1,2,1,2,1,2,1,2,2,2,2,2,1,2,1944,5,3,2,1,1,NA,1,1,2,2,1,1,NA,0.5339
524,1,36,1,2,1,2,6,1,5,6,1,5,6,6,6,2,6,3,2,1,3,1,1,"","",1,NA,2,1,1,3,1,3,4,2,2,2,2,2,2,2,1,10,NA,3,"Set appointments",2,1,2,3,5,"Live paycheck to paycheck",1,1,1,3,1,3,NA,"",1,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,2,3,5,1,NA,1,NA,2,1,1,NA,2,1,1,NA,1,1,1,2,1,2,1,1,1,1,1,2,2,2,2,2,1958,4,3,2,1,1,NA,1,1,2,8,2,2,NA,0.4947
525,1,8,4,8,1,4,6,6,3,2,4,4,3,6,2,4,4,4,2,4,5,4,4,"pelosi","",1,NA,2,2,4,1,3,1,3,2,2,2,2,2,2,1,2,19,NA,3,"therapy for children",2,1,2,2,1,"",2,2,1,3,2,3,NA,"",1,6,6,6,2,1,6,6,6,6,6,6,6,6,6,6,6,6,6,1,2,2,3,NA,5,2,4,1,4,NA,2,1,2,NA,2,1,1,1,1,2,1,2,1,2,2,2,2,2,1,2,1964,4,5,3,2,1,NA,1,1,2,2,3,2,NA,0.6436
526,1,25,1,1,1,4,3,3,1,5,1,5,5,3,5,2,1,2,3,1,4,2,2,"nancy pelosi","lt gov. karen polito",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,5,"living on min wage... welfare",1,2,2,2,2,2,9,"kavanaugh",2,1,2,2,3,1,3,1,2,2,4,3,2,2,3,3,4,3,4,1,1,1,2,NA,7,1,3,1,2,NA,1,1,2,NA,1,1,1,2,1,1,1,1,1,2,2,2,2,2,1,2,1957,4,6,4,2,1,NA,1,1,2,7,2,1,NA,1.1255
527,1,34,1,2,1,3,3,3,5,5,4,5,1,3,4,5,2,3,2,4,5,5,3,"Kampala harris","Marsha blackburn",1,NA,2,1,1,1,1,3,3,2,2,2,2,2,2,1,2,15,NA,3,"Sales rep",3,1,1,3,1,"The average",2,2,3,3,2,3,12,"John Roberts",1,2,1,5,5,1,5,3,3,1,3,4,1,1,4,1,3,3,4,1,1,1,2,NA,7,1,5,1,2,NA,1,1,2,NA,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,1967,4,5,3,2,1,NA,1,1,2,12,2,2,NA,0.8237
528,1,48,3,7,1,4,5,3,5,5,4,5,5,5,5,4,2,4,2,3,5,5,4,"Nancy Pelosi","Kay Bailey Hutchison",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,5,"You work to support yourself from the time you are 18. You will work until you drop and barely make it from pay check to pay check because fat cats in politics decide your amount of taxes,",2,2,1,1,1,1,9,"Roberts",2,1,1,5,5,NA,5,2,3,1,4,4,1,1,5,2,3,1,3,2,3,2,2,NA,7,1,4,1,2,NA,1,1,2,NA,2,1,1,1,1,1,1,2,1,1,2,2,2,2,1,2,1942,5,3,2,1,1,NA,1,1,2,7,3,2,NA,0.8464
529,1,4,4,8,1,1,1,1,2,4,1,1,2,5,1,1,2,1,2,3,1,3,2,"Nancy Pelosi","Joni Ernst",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,5,"$50,000 or less",1,1,2,2,2,2,9,"Roberts",2,3,5,1,1,5,1,4,1,5,4,5,2,1,5,2,4,1,5,2,5,5,3,NA,3,NA,2,1,1,NA,2,1,1,NA,1,1,1,2,1,1,1,2,1,2,2,2,2,2,1,2,1947,5,6,4,2,1,NA,1,1,2,7,2,1,NA,0.6473
530,1,42,1,2,1,6,1,5,6,3,3,3,3,3,5,3,5,5,3,3,3,1,5,"","",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,"",1,1,2,2,2,1,11,"Kennedy",2,1,1,3,1,1,1,1,1,3,4,4,3,4,4,3,3,3,4,2,1,1,2,NA,7,1,5,1,2,NA,1,1,1,NA,1,1,1,1,1,2,1,2,1,2,2,2,2,2,1,2,1951,5,2,1,1,1,NA,1,1,2,4,2,2,NA,1.3364
531,1,36,1,2,1,3,2,2,4,1,1,2,2,2,2,4,1,2,2,5,2,4,2,"","",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,"",1,3,1,2,1,2,7,"",1,2,1,2,2,1,2,2,2,2,3,3,4,4,2,4,3,4,4,2,2,2,2,NA,6,2,3,1,2,NA,1,1,2,NA,2,1,1,2,1,1,1,2,2,2,2,2,2,2,1,2,1973,3,2,1,1,1,NA,1,1,2,2,2,1,NA,1.5206
532,1,36,1,2,1,6,6,6,5,5,2,2,6,1,5,2,4,1,1,4,6,2,1,"Pelosi","",1,NA,2,1,4,2,1,1,4,1,2,2,1,2,2,2,2,10,NA,3,"Paper work, answer phones",2,1,1,3,3,"Working!!! And living check to check.and still not making ends meet",3,2,3,2,3,3,9,"Roberts",1,2,4,4,3,5,2,6,2,4,3,4,1,1,5,2,4,3,3,2,5,5,4,"Fed up",4,NA,4,2,7,NA,2,1,6,NA,2,1,1,2,1,1,1,1,2,2,1,2,2,2,2,2,1956,4,4,2,1,1,NA,1,1,2,97,1,2,NA,0.4947
533,1,37,3,5,1,3,3,2,4,4,4,2,4,4,5,4,4,4,4,2,5,5,2,"Nancy Pelosi","Marsha Blackburn",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,"Working class are all those who work as hourly paid employees and workers that work doing manual labor...just to name a few",2,2,3,3,2,3,9,"Roberts",1,3,3,1,5,1,2,3,3,1,3,3,4,1,5,3,3,3,4,2,4,1,3,NA,5,1,5,1,2,NA,1,1,2,NA,2,1,1,2,2,1,1,2,1,1,2,1,2,2,2,2,1949,5,3,2,1,1,NA,1,1,2,6,3,1,NA,0.75
534,1,13,3,5,1,3,1,2,4,5,1,4,2,1,5,2,1,3,3,5,4,4,1,"Nancy Pelosi","don't know",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,"Blue collar workers",1,1,1,1,3,3,7,"Kavanaugh",1,1,3,2,1,2,1,1,3,1,6,3,2,3,4,3,2,3,2,1,1,2,2,NA,7,3,3,1,2,NA,3,1,2,NA,1,1,1,2,1,1,1,1,1,2,2,2,2,2,1,2,1942,5,2,1,1,1,NA,1,1,2,8,2,2,NA,1.4668
535,1,48,3,7,1,3,5,3,4,5,2,5,5,1,5,5,4,2,5,5,5,5,5,"Pelosi","Rice",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,"Middle class",2,2,1,3,2,3,9,"Roberts",2,2,1,2,4,1,3,2,3,1,3,5,2,1,5,2,2,2,5,2,2,1,2,NA,7,1,4,1,2,NA,1,1,2,NA,1,1,1,2,1,2,1,1,1,2,2,2,2,2,1,2,1954,5,6,4,2,1,NA,1,1,2,10,2,1,NA,1.2354
536,1,12,3,5,1,2,1,2,2,2,1,1,2,4,2,2,2,4,2,2,2,2,2,"Pal;osi","Romey",1,NA,1,1,2,2,1,3,4,2,2,2,2,2,2,1,2,11,NA,1,"Manage and oversee the operations functions for delivery services fr the CApMeto area",1,1,2,2,3,"Major of the American people that work from 9 to 5",1,1,3,2,3,3,7,"not sure",2,2,3,2,2,5,2,3,2,2,4,5,2,3,NA,3,4,3,NA,2,4,5,3,NA,4,NA,3,1,1,NA,2,1,1,NA,1,1,1,1,1,2,1,1,1,2,2,2,2,2,1,2,1952,5,6,4,2,2,NA,2,2,2,15,2,1,NA,1.3266
537,1,29,2,4,1,6,5,5,1,5,5,5,6,1,5,1,2,1,5,2,5,3,1,"Maxine Waters","Ann Wagner",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,"Certainly not the old American dream concept",2,2,1,1,2,2,9,"The Honorable John Roberts",1,4,1,5,5,2,5,2,2,3,2,4,1,1,4,1,3,3,2,2,5,1,5,NA,8,NA,5,1,2,NA,3,1,3,NA,2,1,2,2,2,1,1,2,1,2,2,2,2,2,1,2,1968,4,5,3,2,1,NA,1,1,2,4,2,2,NA,0.9152
538,1,10,3,5,1,5,5,1,5,5,5,5,5,1,5,5,2,3,5,5,5,5,5,"Elizabeth Warren","Liz Cheney",1,NA,2,1,4,1,3,3,4,2,2,2,2,2,2,1,2,10,NA,3,"Legal secretarial work",1,1,2,3,1,"Live paycheck to paycheck",2,2,1,1,NA,1,9,"Roberts",2,2,1,5,5,1,5,1,3,1,3,3,2,1,4,1,3,2,3,1,3,1,2,NA,7,1,4,1,2,NA,1,1,2,NA,1,1,1,1,1,1,1,2,1,1,2,2,1,2,2,2,1965,4,3,2,1,1,NA,1,1,2,10,2,2,NA,0.8366
539,1,13,3,5,1,4,5,5,4,5,5,5,5,1,5,4,4,5,2,5,5,5,5,"Nancy Pelosi, Diane Feinstein, Debbie Schultz,","Marsha Blackburn, Liz Cheney, Mia Love",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,"Working class people are the fiber and backbone of America; they are the providers that make the goods that turn the wheels of our capitalistic economy.",2,1,1,1,2,1,9,"Roberts",1,5,1,5,5,1,5,1,4,1,2,4,1,1,4,1,4,2,4,1,4,1,2,NA,7,1,5,1,2,NA,1,1,2,NA,1,1,1,2,1,2,1,1,1,2,2,2,2,2,1,2,1960,4,2,1,1,1,NA,1,1,2,97,3,2,NA,1.785
540,1,18,2,3,1,1,3,2,5,5,1,2,5,3,5,4,4,1,2,4,5,4,1,"Nancy Pelosi","na",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,"It means you are so poor that missing one paycheck puts you in financial trouble.",2,2,1,1,2,2,10,"na",2,2,2,4,4,2,4,2,4,2,3,3,1,1,3,1,3,1,3,2,4,2,2,NA,6,1,3,1,2,NA,1,1,2,NA,2,1,2,2,1,2,1,2,1,1,2,2,2,2,1,2,1964,4,2,1,1,1,NA,1,1,2,2,3,2,NA,1.3019
541,1,16,4,8,1,2,1,1,1,6,1,6,2,5,2,2,4,1,2,3,2,2,1,"Nancy Pelosi","Mythical",1,NA,1,1,2,1,3,3,4,2,2,2,2,2,2,1,2,11,NA,1,"I am the President and partner in a small consulting firm providing services to the nuclear decommissioning and demolition industry.",2,1,2,3,4,"It used to mean you worked in trades, services or labor but could still raise a family and live a comfortable life with dignity. After the onslaught of the toxic capitalism class (embodied in the extreme right of one of our political parties but enabled by the ineffectual flailing of the other one), it now means you are working several jobs with income insecurity and no safety net. The middle class has become the new working class. The old working class is the new indentured servant class.",1,1,3,2,1,2,9,"Roberts",1,2,5,1,1,5,1,4,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,5,3,NA,3,NA,3,1,1,NA,2,1,1,NA,1,1,1,2,1,2,1,1,1,1,2,2,2,2,1,2,1950,5,6,4,2,1,NA,1,1,2,14,3,2,NA,0.7304
542,1,49,4,8,1,3,1,1,5,6,1,5,5,5,1,5,5,6,5,3,5,5,5,"Pelosi","Nicki hailey",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,"A person has full employment",1,1,1,3,1,2,9,"Roberts",2,1,1,5,2,1,4,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,NA,7,4,5,1,2,NA,1,1,2,NA,1,1,1,2,2,1,1,2,1,2,2,2,2,2,1,2,1947,5,3,2,1,1,NA,1,1,2,2,2,2,NA,0.6026
543,1,51,3,5,1,2,1,1,1,3,1,1,2,5,1,1,5,2,1,1,1,4,1,"Kamala Harris","Dont know",1,NA,1,1,2,1,1,3,1,1,2,2,2,2,2,2,2,5,NA,2,"Supervise the scheduling and authorizing of advanced radiology testing.",1,1,1,4,6,"",1,1,1,2,1,2,9,"",2,3,5,1,1,5,1,3,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,5,1,NA,1,NA,3,1,1,NA,2,1,1,NA,1,1,1,1,1,2,1,NA,1,2,2,2,2,2,1,2,1973,3,5,3,2,1,NA,1,1,2,6,2,2,NA,0.9041
544,1,42,1,2,1,3,4,2,4,5,5,5,5,1,4,2,6,2,3,4,5,5,5,"Nancy Pelosi","Joni Earnst",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,"That you have a job that may not require a college degree, although it may require specialized training such as skilled laborers acquire. It's not so much an income class as it is the difference between working 'with your hands' rather than always behind a desk. Skilled labor jobs pay very well--plumbers, carpenters, surveyors, auto mechanics, etc. and many of these people even own their own businesses.",2,2,3,3,2,3,9,"Roberts",1,2,1,4,4,1,4,1,3,1,3,3,2,2,5,2,4,3,5,1,2,1,3,NA,5,2,4,1,2,NA,1,1,2,NA,2,1,1,2,1,1,1,1,1,1,2,2,2,2,1,2,1948,5,5,3,2,1,NA,1,1,2,10,3,2,NA,1.1365
545,1,9,1,1,1,4,5,2,5,5,5,5,5,1,5,5,4,2,2,5,5,5,4,"Pelosi","Blackburn",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,"The backbone of America. Plumbers, electricians, mechanics, store owners, etc.",2,2,2,1,2,1,9,"Roberts",1,4,1,5,5,2,5,1,3,1,3,4,1,1,4,1,4,3,4,2,5,1,4,"Libertarian",5,1,4,1,2,NA,1,1,2,NA,1,1,1,2,1,2,1,2,1,2,2,2,2,2,1,2,1953,5,4,2,1,1,NA,1,1,2,2,1,2,NA,0.7711
546,1,36,1,2,1,1,1,1,2,2,1,1,1,3,3,1,2,1,1,2,1,1,1,"Nancy Pelosi","Susan Collins",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,4,"A none professional worker. Someone who did not go to college. Maybe skilled or unskilled workers.",1,1,1,2,1,2,9,"Roberts",2,4,5,1,1,5,NA,5,1,5,4,5,2,1,5,2,5,2,5,2,5,5,1,NA,2,NA,2,1,4,NA,2,1,1,NA,1,1,1,2,1,2,1,1,1,2,2,2,2,2,1,2,1954,5,5,3,2,1,NA,1,1,2,9,2,1,NA,1.0099
547,1,17,2,3,1,4,4,4,3,3,2,2,4,2,4,2,3,1,1,1,1,2,1,"Nancy Poalszi","Sarah Huckabee",1,NA,2,1,3,3,1,1,2,2,2,2,2,2,2,1,2,10,NA,3,"Schedule meetings, answer and screen calls, order office supplies, process expense reports",1,1,1,3,4,"Under paid and over worked",1,1,3,3,1,1,12,"Ginsberg",1,3,3,1,1,4,1,3,3,3,3,6,2,2,5,2,4,6,4,1,2,5,1,NA,2,NA,3,1,7,NA,2,1,1,NA,1,1,1,2,1,2,1,2,1,2,2,2,2,2,1,2,1974,3,2,1,1,3,NA,3,2,1,6,2,2,NA,0.8236
548,1,6,4,9,1,1,1,1,1,2,1,2,2,6,1,6,6,1,6,2,6,1,1,"Nancy Pelosi","Mulkoski",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,5,"My first response is that working class jobs are usually jobs that are in manufacturing plants, factory or warehouse, mostly those without formal education. But maybe a more comprehensive or fairer definition would be those that work any job and, who are not multi-millionaires or billionaires.",1,1,1,3,1,2,9,"John Roberts",2,2,5,1,1,5,1,4,1,5,3,5,2,1,5,2,5,2,5,1,3,5,1,NA,1,NA,1,1,1,NA,2,1,1,NA,1,1,1,2,1,1,1,1,1,2,2,2,1,2,2,2,1950,5,6,4,2,1,NA,1,1,2,11,1,1,NA,0.6473
